n_x, n_y, n_z, o_x, o_y, o_z, a_x, a_y, a_z, x, y, z
-0.928307, -0.248622, 0.276465, 2.851794, -0.371670, 0.599792, -0.708598, 1.556890, 0.010352, -0.760551, -0.649196, 7.204616
-0.927795, -0.249767, 0.277152, 2.841086, -0.372934, 0.599289, -0.708360, 1.578325, 0.010831, -0.760572, -0.649164, 7.205651
-0.927280, -0.250911, 0.277839, 2.830263, -0.374197, 0.598783, -0.708121, 1.599702, 0.011310, -0.760594, -0.649130, 7.206687
-0.926764, -0.252054, 0.278527, 2.819325, -0.375459, 0.598274, -0.707883, 1.621020, 0.011789, -0.760616, -0.649094, 7.207722
-0.926246, -0.253195, 0.279216, 2.808270, -0.376721, 0.597761, -0.707646, 1.642281, 0.012268, -0.760640, -0.649058, 7.208756
-0.925725, -0.254335, 0.279904, 2.797100, -0.377982, 0.597246, -0.707409, 1.663482, 0.012747, -0.760665, -0.649019, 7.209791
-0.925203, -0.255473, 0.280594, 2.785815, -0.379242, 0.596727, -0.707172, 1.684624, 0.013225, -0.760691, -0.648979, 7.210825
-0.924679, -0.256609, 0.281283, 2.774416, -0.380501, 0.596205, -0.706936, 1.705705, 0.013704, -0.760718, -0.648938, 7.211858
-0.924153, -0.257744, 0.281973, 2.762902, -0.381759, 0.595680, -0.706700, 1.726725, 0.014182, -0.760745, -0.648896, 7.212892
-0.923625, -0.258877, 0.282664, 2.751275, -0.383016, 0.595152, -0.706465, 1.747684, 0.014660, -0.760774, -0.648851, 7.213924
-0.923096, -0.260009, 0.283355, 2.739534, -0.384273, 0.594620, -0.706230, 1.768581, 0.015138, -0.760803, -0.648806, 7.214957
-0.922564, -0.261139, 0.284046, 2.727679, -0.385528, 0.594086, -0.705996, 1.789416, 0.015615, -0.760834, -0.648759, 7.215989
-0.922030, -0.262268, 0.284738, 2.715712, -0.386783, 0.593548, -0.705761, 1.810187, 0.016092, -0.760865, -0.648710, 7.217020
-0.921495, -0.263394, 0.285430, 2.703631, -0.388037, 0.593008, -0.705528, 1.830894, 0.016570, -0.760898, -0.648660, 7.218051
-0.920958, -0.264520, 0.286123, 2.691440, -0.389290, 0.592464, -0.705294, 1.851537, 0.017047, -0.760931, -0.648609, 7.219082
-0.920418, -0.265643, 0.286817, 2.679134, -0.390542, 0.591917, -0.705061, 1.872115, 0.017523, -0.760965, -0.648556, 7.220112
-0.919877, -0.266765, 0.287510, 2.666718, -0.391793, 0.591367, -0.704829, 1.892628, 0.018000, -0.761001, -0.648501, 7.221141
-0.919334, -0.267885, 0.288205, 2.654190, -0.393043, 0.590813, -0.704597, 1.913075, 0.018476, -0.761037, -0.648446, 7.222170
-0.918789, -0.269004, 0.288900, 2.641551, -0.394293, 0.590257, -0.704365, 1.933455, 0.018952, -0.761074, -0.648388, 7.223199
-0.918243, -0.270121, 0.289595, 2.628802, -0.395541, 0.589698, -0.704133, 1.953768, 0.019428, -0.761112, -0.648329, 7.224227
-0.917694, -0.271236, 0.290291, 2.615942, -0.396789, 0.589135, -0.703902, 1.974013, 0.019903, -0.761151, -0.648269, 7.225255
-0.917144, -0.272349, 0.290987, 2.602972, -0.398036, 0.588570, -0.703671, 1.994190, 0.020378, -0.761191, -0.648208, 7.226281
-0.916591, -0.273461, 0.291684, 2.589892, -0.399281, 0.588001, -0.703441, 2.014299, 0.020853, -0.761232, -0.648144, 7.227307
-0.916037, -0.274571, 0.292382, 2.576704, -0.400526, 0.587429, -0.703211, 2.034338, 0.021328, -0.761274, -0.648080, 7.228333
-0.915481, -0.275679, 0.293080, 2.563405, -0.401770, 0.586855, -0.702981, 2.054306, 0.021802, -0.761316, -0.648014, 7.229358
-0.914923, -0.276786, 0.293778, 2.549998, -0.403013, 0.586277, -0.702752, 2.074205, 0.022276, -0.761360, -0.647946, 7.230382
-0.914363, -0.277890, 0.294477, 2.536483, -0.404255, 0.585696, -0.702523, 2.094032, 0.022750, -0.761405, -0.647877, 7.231406
